"DT";"DEAL_ID";"BALMAIN";"BALPRMN";"PRODUCT";"CURCODENUM";"CURCODE";"DOCBEGINDATE";"ENDDATEWOPROLONG";"ENDDATEWITHPROLONG";"OVERDUETERMMAINDAY";"OVERDUETERMPERCDAY";"OVERDUEDATEMAIN";"OVERDUEDATEPERC";"DOCSUMCUR";"DOCSUMRUR";"MAINRESTCUR";"MAINRESTRUR";"PRMNRESTCUR";"PRMNRESTRUR";"DOCPROCRATE";"SUMNACHPERCBALCUR";"SUMNACHPERCBALRUR";"SUMPRPERCBALCUR";"SUMPRPERCBALRUR";"RISKGROUP254";"RESERVERATERPBU";"SUMRESERVEMAINRPBU";"SUMRESERVEPRMNRPBU";"SUMRESERVEPRMN";"SUMRESERVEPRPR"
31.03.2020;6943416;;"45815";"Пенсионеры";"810";"Рубли";24.05.2011;24.05.2013;24.05.2013;2924;2536;30.03.2012;22.04.2013;41000;41000;;;21463.4;21463.4;0;;;4523.44;4523.44;"5";100;;21463.4;;4523.44
31.03.2020;6944919;;"45815";"Пенсионеры";"810";"Рубли";29.12.2010;28.12.2012;28.12.2012;2631;2569;17.01.2013;20.03.2013;88000;88000;;;57469.55;57469.55;0;;;4273.67;4273.67;"5";100;;57469.55;;4273.67
31.03.2020;6945967;;"45815";"Авто";"810";"Рубли";05.08.2008;05.08.2013;05.08.2013;3474;2558;27.09.2010;31.03.2013;559521;559521;;;545748.86;545748.86;12;;;148229.35;148229.35;"5";100;;545748.86;;148229.35
31.03.2020;6946949;;"45815";"Авто";"810";"Рубли";23.10.2007;22.10.2012;22.10.2012;3474;3474;27.09.2010;27.09.2010;522000;522000;;;388836.58;388836.58;12;;;129796.57;129796.57;"5";100;;388836.58;;129796.57
31.03.2020;6949068;;"45815";"Авто";"810";"Рубли";30.11.2007;29.11.2012;29.11.2012;3474;3320;27.09.2010;28.02.2011;1022244;1022244;;;654600.59;654600.59;12;;;206338.35;206338.35;"5";100;;654600.59;;206338.35
31.03.2020;6951131;;;"Авто";"810";"Рубли";17.10.2007;12.10.2012;12.10.2012;;1317;;23.08.2016;1000000;1000000;;;;;0;;;82194.91;82194.91;"5";100;;;;82194.91
31.03.2020;6953545;;"45815";"Авто";"810";"Рубли";05.10.2007;02.10.2012;02.10.2012;3474;3474;27.09.2010;27.09.2010;932900;932900;;;638944.05;638944.05;12;;;188276.01;188276.01;"5";100;;638944.05;;188276.01
31.03.2020;6954747;;"45815";"Авто";"810";"Рубли";01.04.2008;29.03.2013;29.03.2013;3474;3228;27.09.2010;31.05.2011;747000;747000;;;458788.59;458788.59;12;;;99673.78;99673.78;"5";100;;458788.59;;99673.78
31.03.2020;6955318;;"45815";"Авто";"810";"Рубли";24.03.2008;22.03.2013;22.03.2013;2567;;22.03.2013;;950000;950000;;;15243.72;15243.72;12;;;;;"5";100;;15243.72;;
31.03.2020;6959610;;"45815";"Авто";"810";"Рубли";18.08.2008;17.08.2013;17.08.2013;3474;3320;27.09.2010;28.02.2011;1485000;1485000;;;1105992.12;1105992.12;12;;;428192.11;428192.11;"5";100;;1105992.12;;428192.11
